id,x,y
CB001,2.1371226,-0.46799284
CB002,2.337703,0.42325413
CB003,1.1220342,-0.5859808
CB004,2.0575283,-0.14230917
CB005,1.9924395,-0.38386977
CB006,2.395729,0.35000637
CB007,2.0297139,0.50725853
CB008,2.2103791,-0.38668162
CB009,2.165938,-0.43149716
CB010,2.3953025,-0.02246666
CB011,1.916812,-0.3064183
CB012,2.5501437,-0.069538265
CB013,1.8072525,-0.1584601
CB014,2.2395391,0.16444983
CB015,2.1857297,0.19386946
CB016,2.9637413,-0.18288676
CB017,1.7694907,-0.36619774
CB018,2.2771907,0.5080375
CB019,1.9487237,-0.3780704
CB020,1.6289835,0.29276675
CB021,2.3344643,0.24441943
CB022,1.7005206,0.10447259
CB023,2.0525086,0.09840987
CB024,2.392143,0.100618
CB025,2.305511,0.030410582
DU001,1.1301037,1.7840797
DU002,0.3442799,1.356148
DU003,0.7883323,1.212505
DU004,0.876186,2.1727235
DU005,0.610376,1.9357252
DU006,0.24270861,1.3493017
DU007,1.0732388,1.7638
DU008,1.3200519,1.8570063
DU009,0.8430737,1.2919416
DU010,1.3860892,1.413913
DU011,0.42594117,0.99002075
DU012,0.5862465,1.7237223
DU013,1.0640916,1.8107184
DU014,0.80773634,1.5713428
DU015,1.2815157,1.3607941
DU016,1.2055489,1.2021333
DU017,0.83662575,1.328218
DU018,0.46187216,1.7191377
DU019,0.78876895,1.5056224
DU020,1.216336,1.700939
CD001,0.2994233,0.9556815
CD002,-0.19048424,0.9641268
CD003,-0.7593005,0.34879938
CD004,-0.59521484,0.55123895
CD005,0.1798984,0.5925344
CD006,-0.17017315,1.5846528
CD007,-0.16031879,1.331882
CD008,-0.42012796,0.9075531
CD009,-0.42750993,0.8474351
CD010,0.37813866,0.22270581
CD011,0.19549064,1.106981
CD012,-0.26736748,0.34927398
CD013,0.03245828,0.7617283
CD014,0.1047043,1.0098335
CD015,0.7208005,0.89229
CD016,-0.46057388,1.080674
CD017,0.09899851,1.6116344
CD018,0.37580007,1.160592
CD019,0.6584863,0.46505663
CD020,-0.2878882,0.58304083
SL001,-1.1754144,0.58049124
SL002,-0.7141821,1.0999998
SL003,-1.6618629,0.7429894
SL004,-0.8589188,1.5771569
SL005,-0.1014711,2.511238
SL006,-0.8135158,0.7547079
SL007,-1.9594208,1.3204702
SL008,-1.3658235,1.0130892
SL009,-1.2754436,1.1366441
SL010,-0.5203089,1.2706718
SL011,-1.0713856,0.7339558
SL012,-1.7536073,0.9811614
SL013,-1.0242021,1.9955685
SL014,-0.94137645,1.6422328
SL015,-1.224683,0.6667753
OS001,-2.2343025,-0.02635173
OS002,-0.8421886,-0.06962401
OS003,-1.4226799,-0.10631723
OS004,-1.3807921,0.47322795
OS005,-1.8704871,0.28165686
OS006,-2.0946546,0.5007325
OS007,-2.0047426,-0.2515226
OS008,-2.375072,0.37766457
OS009,-1.089409,0.37199622
OS010,-1.8533872,0.42862177
OS011,-1.2122992,0.3987221
OS012,-1.9849173,0.7978299
OS013,-1.6070596,0.9910902
OS014,-1.7175446,-0.25101107
OS015,-2.4156716,1.0429176
